,gene,enzyme KO,superpathway,pathway,subpathway,enzyme,superpathway KO,pathway KO,subpathway KO,R12-T77,R12-T95,R12-T119,R12-T216,SynCom-T42,SynCom-T53,SynCom-T71,SynCom-T95
267,FW510-R12_contig_1_178,K05367,Metabolism,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis,pbpC; penicillin-binding protein 1C,ko09100,ko09107,ko00550,-0.8671730332594714,0.005841248250741045,2.3393627577594986,-0.21469560583824238,0.6098654394593777,-0.939959474480418,-0.6050676503121273,-0.3281736815793465
268,FW510-R12_contig_1_178,K05367,Brite Hierarchies,Protein families: metabolism,Glycosyltransferases,pbpC; penicillin-binding protein 1C,ko09180,ko09181,ko01003,-0.8671730332594714,0.005841248250741045,2.3393627577594986,-0.21469560583824238,0.6098654394593777,-0.939959474480418,-0.6050676503121273,-0.3281736815793465
269,FW510-R12_contig_1_178,K05367,Brite Hierarchies,Protein families: metabolism,Peptidoglycan biosynthesis and degradation proteins,pbpC; penicillin-binding protein 1C,ko09180,ko09181,ko01011,-0.8671730332594714,0.005841248250741045,2.3393627577594986,-0.21469560583824238,0.6098654394593777,-0.939959474480418,-0.6050676503121273,-0.3281736815793465
313,FW510-R12_contig_1_239,K08968,Metabolism,Amino acid metabolism,Cysteine and methionine metabolism,msrC; L-methionine (R)-S-oxide reductase,ko09100,ko09105,ko00270,0.7630715575148617,0.7873034559329938,0.2590022945703539,-2.1059256360951806,-1.0029563031813968,-0.26238475675796047,0.8069615747105401,0.7549278133057925
391,FW510-R12_contig_1_283,K07347,Human Diseases,Infectious disease: bacterial,Pertussis,"fimD, fimC, mrkC, htrE, cssD; outer membrane usher",ko09160,ko09171,ko05133,-0.7963313368815506,-0.32228296384494004,-0.18914742390459638,-1.081412556025966,-0.5942653531288346,-0.2816333690258407,1.249169374820751,2.01590362799097
392,FW510-R12_contig_1_283,K07347,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,"fimD, fimC, mrkC, htrE, cssD; outer membrane usher",ko09180,ko09183,ko02000,-0.7963313368815506,-0.32228296384494004,-0.18914742390459638,-1.081412556025966,-0.5942653531288346,-0.2816333690258407,1.249169374820751,2.01590362799097
393,FW510-R12_contig_1_283,K07347,Brite Hierarchies,Protein families: signaling and cellular processes,Secretion system,"fimD, fimC, mrkC, htrE, cssD; outer membrane usher",ko09180,ko09183,ko02044,-0.7963313368815506,-0.32228296384494004,-0.18914742390459638,-1.081412556025966,-0.5942653531288346,-0.2816333690258407,1.249169374820751,2.01590362799097
394,FW510-R12_contig_1_283,K07347,Brite Hierarchies,Protein families: signaling and cellular processes,Bacterial motility proteins,"fimD, fimC, mrkC, htrE, cssD; outer membrane usher",ko09180,ko09183,ko02035,-0.7963313368815506,-0.32228296384494004,-0.18914742390459638,-1.081412556025966,-0.5942653531288346,-0.2816333690258407,1.249169374820751,2.01590362799097
395,FW510-R12_contig_1_284,K15540,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,Cell,ecpD; chaperone protein,ko09190,ko09193,ko99993,-1.0697413841572674,-0.5298594517811753,-0.2607845597637676,-0.5269731654398536,-0.9987642365759968,0.26609140091408784,1.1768966331953232,1.9431347636086438
416,FW510-R12_contig_1_306,K01011,Metabolism,Energy metabolism,Sulfur metabolism,"TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1",ko09100,ko09102,ko00920,0.9561281006073383,0.27322261731275427,0.21569666127252757,-1.8734502801425075,-1.469212291458384,0.39475737586066056,0.6768685192603145,0.8259892972873042
417,FW510-R12_contig_1_306,K01011,Metabolism,Amino acid metabolism,Cysteine and methionine metabolism,"TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1",ko09100,ko09105,ko00270,0.9561281006073383,0.27322261731275427,0.21569666127252757,-1.8734502801425075,-1.469212291458384,0.39475737586066056,0.6768685192603145,0.8259892972873042
418,FW510-R12_contig_1_306,K01011,Genetic Information Processing,"Folding, sorting and degradation",Sulfur relay system,"TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1",ko09120,ko09123,ko04122,0.9561281006073383,0.27322261731275427,0.21569666127252757,-1.8734502801425075,-1.469212291458384,0.39475737586066056,0.6768685192603145,0.8259892972873042
419,FW510-R12_contig_1_306,K02439,Metabolism,Energy metabolism,Sulfur metabolism,glpE; thiosulfate sulfurtransferase,ko09100,ko09102,ko00920,0.9561281006073383,0.27322261731275427,0.21569666127252757,-1.8734502801425075,-1.469212291458384,0.39475737586066056,0.6768685192603145,0.8259892972873042
451,FW510-R12_contig_1_319,K00602,Metabolism,Nucleotide metabolism,Purine metabolism,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3,ko09100,ko09104,ko00230,0.8853119490382921,0.09235606669764528,-0.21414497555178869,-2.5039805318079007,0.7094460447920878,0.49429758394572465,0.27935371129919795,0.257360151586749
452,FW510-R12_contig_1_319,K00602,Metabolism,Metabolism of cofactors and vitamins,One carbon pool by folate,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3,ko09100,ko09108,ko00670,0.8853119490382921,0.09235606669764528,-0.21414497555178869,-2.5039805318079007,0.7094460447920878,0.49429758394572465,0.27935371129919795,0.257360151586749
453,FW510-R12_contig_1_319,K00602,Human Diseases,Drug resistance: antineoplastic,Antifolate resistance,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3,ko09160,ko09176,ko01523,0.8853119490382921,0.09235606669764528,-0.21414497555178869,-2.5039805318079007,0.7094460447920878,0.49429758394572465,0.27935371129919795,0.257360151586749
454,FW510-R12_contig_1_319,K00602,Brite Hierarchies,Protein families: signaling and cellular processes,Exosome,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3,ko09180,ko09183,ko04147,0.8853119490382921,0.09235606669764528,-0.21414497555178869,-2.5039805318079007,0.7094460447920878,0.49429758394572465,0.27935371129919795,0.257360151586749
479,FW510-R12_contig_1_331,K04078,Brite Hierarchies,Protein families: genetic information processing,Chaperones and folding catalysts,"groES, HSPE1; chaperonin",ko09180,ko09182,ko03110,2.1663640784934532,0.2353643680931461,0.08091088858915772,0.5818780496789213,-1.3971340812757327,-0.42677264745040866,-0.5837969500462323,-0.6568137060823203
480,FW510-R12_contig_1_331,K04078,Brite Hierarchies,Protein families: genetic information processing,Mitochondrial biogenesis,"groES, HSPE1; chaperonin",ko09180,ko09182,ko03029,2.1663640784934532,0.2353643680931461,0.08091088858915772,0.5818780496789213,-1.3971340812757327,-0.42677264745040866,-0.5837969500462323,-0.6568137060823203
481,FW510-R12_contig_1_332,K04077,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation,"groEL, HSPD1; chaperonin",ko09120,ko09123,ko03018,2.3164960338986234,0.13258534754893564,0.2651303330375,0.2264348378451481,-1.0262852928762163,-0.25544663911758825,-0.8391287802553375,-0.8197858400810785
482,FW510-R12_contig_1_332,K04077,Organismal Systems,Aging,Longevity regulating pathway - worm,"groEL, HSPD1; chaperonin",ko09150,ko09149,ko04212,2.3164960338986234,0.13258534754893564,0.2651303330375,0.2264348378451481,-1.0262852928762163,-0.25544663911758825,-0.8391287802553375,-0.8197858400810785
483,FW510-R12_contig_1_332,K04077,Human Diseases,Infectious disease: bacterial,Legionellosis,"groEL, HSPD1; chaperonin",ko09160,ko09171,ko05134,2.3164960338986234,0.13258534754893564,0.2651303330375,0.2264348378451481,-1.0262852928762163,-0.25544663911758825,-0.8391287802553375,-0.8197858400810785
484,FW510-R12_contig_1_332,K04077,Human Diseases,Infectious disease: bacterial,Tuberculosis,"groEL, HSPD1; chaperonin",ko09160,ko09171,ko05152,2.3164960338986234,0.13258534754893564,0.2651303330375,0.2264348378451481,-1.0262852928762163,-0.25544663911758825,-0.8391287802553375,-0.8197858400810785
485,FW510-R12_contig_1_332,K04077,Human Diseases,Cardiovascular disease,Lipid and atherosclerosis,"groEL, HSPD1; chaperonin",ko09160,ko09166,ko05417,2.3164960338986234,0.13258534754893564,0.2651303330375,0.2264348378451481,-1.0262852928762163,-0.25544663911758825,-0.8391287802553375,-0.8197858400810785
486,FW510-R12_contig_1_332,K04077,Human Diseases,Endocrine and metabolic disease,Type I diabetes mellitus,"groEL, HSPD1; chaperonin",ko09160,ko09167,ko04940,2.3164960338986234,0.13258534754893564,0.2651303330375,0.2264348378451481,-1.0262852928762163,-0.25544663911758825,-0.8391287802553375,-0.8197858400810785
487,FW510-R12_contig_1_332,K04077,Brite Hierarchies,Protein families: genetic information processing,Messenger RNA biogenesis,"groEL, HSPD1; chaperonin",ko09180,ko09182,ko03019,2.3164960338986234,0.13258534754893564,0.2651303330375,0.2264348378451481,-1.0262852928762163,-0.25544663911758825,-0.8391287802553375,-0.8197858400810785
488,FW510-R12_contig_1_332,K04077,Brite Hierarchies,Protein families: genetic information processing,Chaperones and folding catalysts,"groEL, HSPD1; chaperonin",ko09180,ko09182,ko03110,2.3164960338986234,0.13258534754893564,0.2651303330375,0.2264348378451481,-1.0262852928762163,-0.25544663911758825,-0.8391287802553375,-0.8197858400810785
489,FW510-R12_contig_1_332,K04077,Brite Hierarchies,Protein families: genetic information processing,Mitochondrial biogenesis,"groEL, HSPD1; chaperonin",ko09180,ko09182,ko03029,2.3164960338986234,0.13258534754893564,0.2651303330375,0.2264348378451481,-1.0262852928762163,-0.25544663911758825,-0.8391287802553375,-0.8197858400810785
490,FW510-R12_contig_1_332,K04077,Brite Hierarchies,Protein families: signaling and cellular processes,Exosome,"groEL, HSPD1; chaperonin",ko09180,ko09183,ko04147,2.3164960338986234,0.13258534754893564,0.2651303330375,0.2264348378451481,-1.0262852928762163,-0.25544663911758825,-0.8391287802553375,-0.8197858400810785
621,FW510-R12_contig_1_431,K02108,Metabolism,Energy metabolism,Oxidative phosphorylation,"ATPF0A, atpB; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00190,1.1327971096153322,0.02214576812081633,-0.466376525113452,-2.3376775133541514,-0.058945280492515066,0.6654701955958305,0.3726006773473251,0.66998556828081
622,FW510-R12_contig_1_431,K02108,Metabolism,Energy metabolism,Photosynthesis,"ATPF0A, atpB; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00195,1.1327971096153322,0.02214576812081633,-0.466376525113452,-2.3376775133541514,-0.058945280492515066,0.6654701955958305,0.3726006773473251,0.66998556828081
623,FW510-R12_contig_1_431,K02108,Brite Hierarchies,Protein families: metabolism,Photosynthesis proteins,"ATPF0A, atpB; F-type H+-transporting ATPase subunit",ko09180,ko09181,ko00194,1.1327971096153322,0.02214576812081633,-0.466376525113452,-2.3376775133541514,-0.058945280492515066,0.6654701955958305,0.3726006773473251,0.66998556828081
624,FW510-R12_contig_1_431,K02108,Brite Hierarchies,Protein families: genetic information processing,Chaperones and folding catalysts,"ATPF0A, atpB; F-type H+-transporting ATPase subunit",ko09180,ko09182,ko03110,1.1327971096153322,0.02214576812081633,-0.466376525113452,-2.3376775133541514,-0.058945280492515066,0.6654701955958305,0.3726006773473251,0.66998556828081
625,FW510-R12_contig_1_432,K02110,Metabolism,Energy metabolism,Oxidative phosphorylation,"ATPF0C, atpE; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00190,0.9672780242487847,0.08903689464925461,-0.48425362175642744,-2.4257226736973614,0.6564009816875003,0.4022864578024897,0.2768114280857964,0.5181625089799591
626,FW510-R12_contig_1_432,K02110,Metabolism,Energy metabolism,Photosynthesis,"ATPF0C, atpE; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00195,0.9672780242487847,0.08903689464925461,-0.48425362175642744,-2.4257226736973614,0.6564009816875003,0.4022864578024897,0.2768114280857964,0.5181625089799591
627,FW510-R12_contig_1_432,K02110,Brite Hierarchies,Protein families: metabolism,Photosynthesis proteins,"ATPF0C, atpE; F-type H+-transporting ATPase subunit",ko09180,ko09181,ko00194,0.9672780242487847,0.08903689464925461,-0.48425362175642744,-2.4257226736973614,0.6564009816875003,0.4022864578024897,0.2768114280857964,0.5181625089799591
628,FW510-R12_contig_1_433,K02109,Metabolism,Energy metabolism,Oxidative phosphorylation,"ATPF0B, atpF; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00190,1.0622370361839044,0.18433906648736076,-0.23293428645912692,-2.4550077148064178,0.695321625714591,0.16632261148847308,0.09342210063362744,0.4862995607575881
629,FW510-R12_contig_1_433,K02109,Metabolism,Energy metabolism,Photosynthesis,"ATPF0B, atpF; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00195,1.0622370361839044,0.18433906648736076,-0.23293428645912692,-2.4550077148064178,0.695321625714591,0.16632261148847308,0.09342210063362744,0.4862995607575881
630,FW510-R12_contig_1_433,K02109,Brite Hierarchies,Protein families: metabolism,Photosynthesis proteins,"ATPF0B, atpF; F-type H+-transporting ATPase subunit",ko09180,ko09181,ko00194,1.0622370361839044,0.18433906648736076,-0.23293428645912692,-2.4550077148064178,0.695321625714591,0.16632261148847308,0.09342210063362744,0.4862995607575881
631,FW510-R12_contig_1_434,K02113,Metabolism,Energy metabolism,Oxidative phosphorylation,"ATPF1D, atpH; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00190,1.1283184595867959,0.2813383786822866,-0.3955245995766507,-2.37027619800472,0.8308668292983337,0.3577887156489985,-0.058941757773531125,0.22643017213848032
632,FW510-R12_contig_1_434,K02113,Metabolism,Energy metabolism,Photosynthesis,"ATPF1D, atpH; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00195,1.1283184595867959,0.2813383786822866,-0.3955245995766507,-2.37027619800472,0.8308668292983337,0.3577887156489985,-0.058941757773531125,0.22643017213848032
633,FW510-R12_contig_1_434,K02113,Brite Hierarchies,Protein families: metabolism,Photosynthesis proteins,"ATPF1D, atpH; F-type H+-transporting ATPase subunit",ko09180,ko09181,ko00194,1.1283184595867959,0.2813383786822866,-0.3955245995766507,-2.37027619800472,0.8308668292983337,0.3577887156489985,-0.058941757773531125,0.22643017213848032
634,FW510-R12_contig_1_435,K02111,Metabolism,Energy metabolism,Oxidative phosphorylation,"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2",ko09100,ko09102,ko00190,1.269401030363639,0.41746675247806914,-0.15230565248915365,-2.3136906290556603,0.841723255438228,0.2691321924327639,-0.1977196810099415,-0.13400726815794095
635,FW510-R12_contig_1_435,K02111,Metabolism,Energy metabolism,Photosynthesis,"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2",ko09100,ko09102,ko00195,1.269401030363639,0.41746675247806914,-0.15230565248915365,-2.3136906290556603,0.841723255438228,0.2691321924327639,-0.1977196810099415,-0.13400726815794095
636,FW510-R12_contig_1_435,K02111,Brite Hierarchies,Protein families: metabolism,Photosynthesis proteins,"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2",ko09180,ko09181,ko00194,1.269401030363639,0.41746675247806914,-0.15230565248915365,-2.3136906290556603,0.841723255438228,0.2691321924327639,-0.1977196810099415,-0.13400726815794095
637,FW510-R12_contig_1_436,K02115,Metabolism,Energy metabolism,Oxidative phosphorylation,"ATPF1G, atpG; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00190,1.3758790192103094,0.5107764485012105,-0.21302913010936164,-2.2740685079946092,0.7408954076163654,0.17379172522857417,-0.17700762426147437,-0.13723733819100428
638,FW510-R12_contig_1_436,K02115,Metabolism,Energy metabolism,Photosynthesis,"ATPF1G, atpG; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00195,1.3758790192103094,0.5107764485012105,-0.21302913010936164,-2.2740685079946092,0.7408954076163654,0.17379172522857417,-0.17700762426147437,-0.13723733819100428
639,FW510-R12_contig_1_436,K02115,Brite Hierarchies,Protein families: metabolism,Photosynthesis proteins,"ATPF1G, atpG; F-type H+-transporting ATPase subunit",ko09180,ko09181,ko00194,1.3758790192103094,0.5107764485012105,-0.21302913010936164,-2.2740685079946092,0.7408954076163654,0.17379172522857417,-0.17700762426147437,-0.13723733819100428
672,FW510-R12_contig_1_466,K01823,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis,"idi, IDI; isopentenyl-diphosphate Delta-isomerase",ko09100,ko09109,ko00900,0.7271881978071725,0.8145614091426326,0.12908220760276157,-1.9571889638571127,1.4069340727896946,-0.9857947443309467,-0.07440172813398416,-0.06038045102021872
673,FW510-R12_contig_1_467,K00021,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH),ko09100,ko09109,ko00900,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
674,FW510-R12_contig_1_467,K00021,Environmental Information Processing,Signal transduction,AMPK signaling pathway,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH),ko09130,ko09132,ko04152,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
675,FW510-R12_contig_1_467,K00021,Organismal Systems,Digestive system,Bile secretion,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH),ko09150,ko09154,ko04976,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
676,FW510-R12_contig_1_467,K00054,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis,mvaA; hydroxymethylglutaryl-CoA reductase,ko09100,ko09109,ko00900,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
677,FW510-R12_contig_1_467,K00626,Metabolism,Carbohydrate metabolism,Pyruvate metabolism,"ACAT, atoB; acetyl-CoA C-acetyltransferase",ko09100,ko09101,ko00620,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
678,FW510-R12_contig_1_467,K00626,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,"ACAT, atoB; acetyl-CoA C-acetyltransferase",ko09100,ko09101,ko00630,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
679,FW510-R12_contig_1_467,K00626,Metabolism,Carbohydrate metabolism,Butanoate metabolism,"ACAT, atoB; acetyl-CoA C-acetyltransferase",ko09100,ko09101,ko00650,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
680,FW510-R12_contig_1_467,K00626,Metabolism,Energy metabolism,Carbon fixation pathways in prokaryotes,"ACAT, atoB; acetyl-CoA C-acetyltransferase",ko09100,ko09102,ko00720,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
681,FW510-R12_contig_1_467,K00626,Metabolism,Lipid metabolism,Fatty acid degradation,"ACAT, atoB; acetyl-CoA C-acetyltransferase",ko09100,ko09103,ko00071,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
682,FW510-R12_contig_1_467,K00626,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation","ACAT, atoB; acetyl-CoA C-acetyltransferase",ko09100,ko09105,ko00280,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
683,FW510-R12_contig_1_467,K00626,Metabolism,Amino acid metabolism,Lysine degradation,"ACAT, atoB; acetyl-CoA C-acetyltransferase",ko09100,ko09105,ko00310,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
684,FW510-R12_contig_1_467,K00626,Metabolism,Amino acid metabolism,Tryptophan metabolism,"ACAT, atoB; acetyl-CoA C-acetyltransferase",ko09100,ko09105,ko00380,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
685,FW510-R12_contig_1_467,K00626,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis,"ACAT, atoB; acetyl-CoA C-acetyltransferase",ko09100,ko09109,ko00900,0.5946118906421538,0.30794635533173165,-0.2797707096163126,-2.3870144445682024,1.009872010066763,0.8534897703922402,-0.1551515421252137,0.056016669876838815
