Title,Sample Name,Nitrous Oxide,,
Alex_Tests_D5_952023_032.gcd ,D5 ,0.000 ,,
Alex_Tests_E5_952023_033.gcd ,E5 ,0.000 ,,
Alex_Tests_F5_952023_034.gcd ,F5 ,326.624 ,,
Alex_Tests_G5_952023_035.gcd ,G5 ,254.892 ,,
Alex_Tests_A6_952023_036.gcd ,A6 ,0.000 ,,
Alex_Tests_B6_952023_037.gcd ,B6 ,0.000 ,,
Alex_Tests_C6_952023_038.gcd ,C6 ,0.000 ,,
Alex_Tests_D6_952023_039.gcd ,D6 ,0.000 ,,
Alex_Tests_E6_952023_040.gcd ,E6 ,0.000 ,,
Alex_Tests_F6_952023_041.gcd ,F6 ,335.173 ,,
Alex_Tests_G6_952023_042.gcd ,G6 ,235.618 ,,
Alex_Tests_A7_952023_043.gcd ,A7 ,0.000 ,,
Alex_Tests_B7_952023_044.gcd ,B7 ,0.000 ,,
Alex_Tests_C7_952023_045.gcd ,C7 ,0.000 ,,
Alex_Tests_D7_952023_046.gcd ,D7 ,0.000 ,,
Alex_Tests_E7_952023_047.gcd ,E7 ,0.000 ,,
Alex_Tests_F7_952023_048.gcd ,F7 ,326.532 ,,
Alex_Tests_G7_952023_049.gcd ,G7 ,269.792 ,,
Alex_Tests_A8_952023_050.gcd ,A8 ,0.000 ,,
Alex_Tests_B8_952023_051.gcd ,B8 ,0.000 ,,
Alex_Tests_C8_952023_052.gcd ,C8 ,0.000 ,,
Alex_Tests_D8_952023_053.gcd ,D8 ,0.000 ,,
Alex_Tests_E8_952023_054.gcd ,E8 ,0.000 ,,
Alex_Tests_F8_952023_055.gcd ,F8 ,333.469 ,,
Alex_Tests_G8_952023_056.gcd ,G8 ,225.619 ,,
Alex_Tests_A9_952023_057.gcd ,A9 ,0.000 ,,
Alex_Tests_B9_952023_058.gcd ,B9 ,0.000 ,,
Alex_Tests_C9_952023_059.gcd ,C9 ,0.000 ,,
Alex_Tests_D9_952023_060.gcd ,D9 ,0.000 ,,
Alex_Tests_E9_952023_061.gcd ,E9 ,0.000 ,,
Alex_Tests_F9_952023_062.gcd ,F9 ,0.000 ,,
Alex_Tests_G9_952023_063.gcd ,G9 ,8.366 ,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
